epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,18850,1.102,2.11714,0.68703,0.92342,0.41164,0.32155,0.3231,0.19433,0.37318,0.29502,0.28998,0.15237,1.2131,2.40586,0.78083,0.96721,0.000212129,0.000212129,0.000212129
73,19112.6,1.09625,2.10781,0.68294,0.92345,0.45667,0.32157,0.32785,0.1974,0.44311,0.28424,0.29265,0.15274,1.21744,2.4076,0.78687,0.96896,0.000205061,0.000205061,0.000205061
74,19373.6,1.08333,2.07584,0.67605,0.92294,0.47085,0.30153,0.32462,0.19538,0.44179,0.28276,0.29277,0.15522,1.21569,2.41504,0.7805,0.96931,0.000197992,0.000197992,0.000197992
75,19636,1.0864,2.08605,0.679,0.92128,0.47052,0.29416,0.32919,0.19885,0.44451,0.26997,0.29405,0.15694,1.21946,2.4157,0.78676,0.97041,0.000190924,0.000190924,0.000190924
76,19896.8,1.0895,2.07723,0.67615,0.92411,0.4534,0.32018,0.32917,0.1969,0.41718,0.28283,0.29465,0.15631,1.21008,2.40491,0.77833,0.96856,0.000183855,0.000183855,0.000183855
77,20156.9,1.08679,2.08075,0.6762,0.92144,0.49339,0.30363,0.32731,0.19749,0.46132,0.2826,0.29658,0.15635,1.21257,2.41299,0.7768,0.96825,0.000176786,0.000176786,0.000176786
78,20417.7,1.07981,2.06926,0.67528,0.92041,0.57821,0.28319,0.34393,0.21337,0.54313,0.2711,0.31138,0.16932,1.20784,2.40136,0.77832,0.96775,0.000169718,0.000169718,0.000169718
79,20679.1,1.08084,2.06936,0.67007,0.91935,0.46456,0.32354,0.33259,0.2033,0.43741,0.30215,0.30028,0.15941,1.21118,2.40172,0.77363,0.9667,0.000162649,0.000162649,0.000162649
80,20938.8,1.07158,2.05798,0.66308,0.91538,0.53921,0.30758,0.34244,0.20933,0.50831,0.28017,0.30207,0.16455,1.20498,2.40615,0.77387,0.96631,0.000155581,0.000155581,0.000155581
81,21200.5,1.08246,2.0808,0.67305,0.92109,0.49554,0.31434,0.34117,0.20988,0.46778,0.29453,0.31011,0.16725,1.21108,2.41452,0.77595,0.96756,0.000148512,0.000148512,0.000148512
